CAM	participantCAM	id	text	value	comment	date	x_pos	y_pos	isDraggable	isDeletable	isTextChangeable	isActive
1927	absdw1_1927	29343	Negative impact on user's who misuse the implant for long periods of work	-3	NA		496	477	NA	NA	NA	NA
1927	absdw1_1927	29331	Personal health data is misused	-3	NA		175	294	NA	NA	NA	NA
1927	absdw1_1927	29325	Can be hacked by hackers to paralyze user	-3	NA	17:04:06	748	293	NA	NA	NA	NA
1927	absdw1_1927	29324	Medical benefits	3	NA		470	103	NA	NA	NA	NA
1927	absdw1_1927	29323	technological implant	0	NA		472	286	NA	NA	NA	NA
1906	alcoj1_1906	29169	Unethical	0	NA		118	45	NA	NA	NA	NA
1906	alcoj1_1906	29155	Helps people	2	NA		609	354	NA	NA	NA	NA
1906	alcoj1_1906	29148	class system produced	-3	NA	17:54:23	872	93	NA	NA	NA	NA
1906	alcoj1_1906	29147	The Economy	0	NA	18:00:51	689.6	189	NA	NA	NA	NA
1906	alcoj1_1906	29144	Sleep	0	NA		407	495	NA	NA	NA	NA
1906	alcoj1_1906	29142	Sleep disorders	0	NA		739	518	NA	NA	NA	NA
1906	alcoj1_1906	29141	Military	-1	NA	18:03:56	335	43	NA	NA	NA	NA
1906	alcoj1_1906	29138	Controlled by an app	10	NA	17:47:40	46	257	NA	NA	NA	NA
1906	alcoj1_1906	29137	profit	0	NA		907	347	NA	NA	NA	NA
1906	alcoj1_1906	29135	un-natural	-2	NA	17:49:24	220	384	NA	NA	NA	NA
1906	alcoj1_1906	29131	Hackers	-3	NA	17:47:35	583	36	NA	NA	NA	NA
1906	alcoj1_1906	29128	Intrusive	0	NA		748	49	NA	NA	NA	NA
1906	alcoj1_1906	29126	Brain Implant	10	NA	17:53:56	226	170	NA	NA	NA	NA
1906	alcoj1_1906	29124	technological implant	0	NA	17:48:52	476	198	NA	NA	NA	NA
1856	apchr1_1856	28537	Long haul flights	3	Sleep the whole journey!	16:26:16	384	446	NA	NA	NA	NA
1856	apchr1_1856	28516	Medical efficiency	2	Great for people who need long periods of rest for recovery	16:24:52	558	106	NA	NA	NA	NA
1856	apchr1_1856	28512	Who controls childrens / babies?	10	NA		614	491	NA	NA	NA	NA
1856	apchr1_1856	28459	Nap whenever I want	1	NA	16:19:42	134	220	NA	NA	NA	NA
1856	apchr1_1856	28411	Could it be used for criminal activity?	0	"Cyber crime?
Could criminals use to break the law?"	16:18:10	862	336	NA	NA	NA	NA
1856	apchr1_1856	28397	Goes against nature	10	This is not what the body is designed to do. 	16:22:01	184	404	NA	NA	NA	NA
1856	apchr1_1856	28359	More productive at work	1	NA	16:14:43	342	41	NA	NA	NA	NA
1856	apchr1_1856	28350	What if it fails?	-3	What if I fell asleep and never woke up?	16:22:25	888	128	NA	NA	NA	NA
1856	apchr1_1856	28331	Guaranteed 8 hours sleep per night	2	NA	16:13:31	93	74	NA	NA	NA	NA
1856	apchr1_1856	28312	technological implant	0	 		471	290	NA	NA	NA	NA
1871	babrs1_1871	28835	Environmentally friendly	1	Environmentally friendly as it decomposes itself and does not require electricity to charge.	17:06:36	404.833	20	NA	NA	NA	NA
1871	babrs1_1871	28618	Hacking	-3	Hacking and taking control over the implant takes away an individuals freedom and can lead to serious abuse.	17:04:36	306.954	421.97	NA	NA	NA	NA
1871	babrs1_1871	28727	Stress due to misuse	-1	Stress and/or other psychological issues when misusing the implant (staying awake for too long).	17:03:54	310.634	676	NA	NA	NA	NA
1871	babrs1_1871	28907	Long lasting	1	Lasts a very long time so does not need replacing often.	17:02:48	1108.12	575.535	NA	NA	NA	NA
1871	babrs1_1871	28794	Easy disposal	3	Very easy to dispose.	17:06:08	701.635	113.07	NA	NA	NA	NA
1871	babrs1_1871	28779	Easy to use	1	Easy to use app.	17:02:59	806.24	698.944	NA	NA	NA	NA
1871	babrs1_1871	28756	Social gap widens	-3	Social gap widens between the rich and poor if only the rich can get the implant.	17:02:33	1348.78	366.479	NA	NA	NA	NA
1871	babrs1_1871	28747	Possibly Expensive	-1	Possibly too expensive for everyone to buy so not everyone has the implant.	17:02:16	1049.93	315.658	NA	NA	NA	NA
1871	babrs1_1871	28718	Sleep Cycle Control	3	NA	17:08:19	690.871	514.194	NA	NA	NA	NA
1871	babrs1_1871	28642	Possibly Mandatory	-3	May become mandatory for jobs when it results in higher productivity.	17:07:17	1013.88	124.924	NA	NA	NA	NA
1871	babrs1_1871	28632	Higher productivity at work	1	Higher productivity at work	17:06:56	1318.91	25.9918	NA	NA	NA	NA
1871	babrs1_1871	28609	Data Privacy	-3	Potential data theft of sleep cycle history	17:04:51	27.9948	324.977	NA	NA	NA	NA
1871	babrs1_1871	28584	No Charging	3	No charging required which keeps cost down and makes it more useable.	17:05:58	80.9814	57.9807	NA	NA	NA	NA
1871	babrs1_1871	28546	No Maintenance	3	No maintenance required which keeps cost down	17:05:41	213.958	191.97	NA	NA	NA	NA
1871	babrs1_1871	28523	technological implant	0	 		756.965	313.966	NA	NA	NA	NA
1971	babui1_1971	29648	An introduction to a new phenomena, new societal regulations	1	NA		113	412	NA	NA	NA	NA
1971	babui1_1971	29647	new data could come to light	3	NA		170	185	NA	NA	NA	NA
1971	babui1_1971	29646	could lead to high productive levels in jobs	3	NA		356	483	NA	NA	NA	NA
1971	babui1_1971	29645	possible positive mental affects	1	NA		242	278	NA	NA	NA	NA
