CAM_ID	participantCAM	mean_1_technologicalimplant	mean_2_technologicalimplant	mean_1_dashed_technologicalimplant	mean_2_dashed_technologicalimplant	mean_2_weighted_technologicalimplant	mean_2_weighted_dashed_technologicalimplant
absdw1_1927	absdw1_1927	-1.2	-1.2	-1.2	-1.2	-1.2	-1.2
alcoj1_1906	alcoj1_1906	-0.375	-0.5	-0.375	-0.5	-0.45454545454545453	-0.35714285714285715
apchr1_1856	apchr1_1856	0.625	0.6	0.625	0.6	0.6111111111111112	0.55
babrs1_1871	babrs1_1871	0.375	0.13333333333333333	0.375	0.13333333333333333	0.21739130434782608	0.16666666666666666
babui1_1971	babui1_1971	1.5714285714285714	1	1.5714285714285714	1	1.2666666666666666	1.1875
becha1_1827	becha1_1827	-0.08333333333333333	0	-0.08333333333333333	0	-0.03571428571428571	-0.03125
bopof1_1872	bopof1_1872	1.7142857142857142	0.5	1.7142857142857142	0.5	0.9473684210526315	0.75
brabg1_1887	brabg1_1887	-0.2857142857142857	-0.8571428571428571	-0.2857142857142857	-0.8571428571428571	-0.6666666666666666	-0.5
brhua1_1832	brhua1_1832	-0.4	-0.9333333333333333	-0.4	-0.9333333333333333	-0.72	-0.6
bumad1_1860	bumad1_1860	-0.7777777777777778	-0.5	-0.7777777777777778	-0.5	-0.6086956521739131	-0.5
caber1_1833	caber1_1833	1	1	1	1	1	0.7222222222222222
chdaa1_1905	chdaa1_1905	0.375	0.36363636363636365	0.375	0.36363636363636365	0.3684210526315789	0.3181818181818182
chros1_1908	chros1_1908	-0.625	-0.8888888888888888	-0.625	-0.8888888888888888	-0.7647058823529411	-0.7222222222222222
cofrn1_1912	cofrn1_1912	NA	NA	NA	NA	NA	NA
dewae1_1896	dewae1_1896	0.75	0.6	0.75	0.6	0.6521739130434783	0.5
dheak1_1845	dheak1_1845	0.42857142857142855	0.9	0.42857142857142855	0.9	0.7058823529411765	0.6
doava1_1852	doava1_1852	0	-0.36363636363636365	0	-0.36363636363636365	-0.21052631578947367	-0.18181818181818182
eaasc1_1966	eaasc1_1966	-1.25	-0.16666666666666666	-1.25	-0.16666666666666666	-0.5	-0.3611111111111111
emmij1_1911	emmij1_1911	0.6666666666666666	0.9	0.6666666666666666	0.9	0.7894736842105263	0.75
evbit1_1840	evbit1_1840	0.08333333333333333	0.08333333333333333	0.08333333333333333	0.08333333333333333	0.08333333333333333	0.08333333333333333
evbos1_1883	evbos1_1883	NA	NA	NA	NA	NA	NA
fasts1_1847	fasts1_1847	0.5	0.5	0.5	0.5	0.5	0.325
foblc1_2026	foblc1_2026	-0.375	-0.3	-0.375	-0.3	-0.3333333333333333	-0.3
foloa1_1835	foloa1_1835	-0.6666666666666666	0.16666666666666666	-0.6666666666666666	0.16666666666666666	-0.041666666666666664	-0.027777777777777776
gagra1_1924	gagra1_1924	NA	NA	NA	NA	NA	NA
gicrt1_1886	gicrt1_1886	-0.25	0	-0.25	0	-0.09090909090909091	-0.07142857142857142
grstr1_1874	grstr1_1874	NA	NA	NA	NA	NA	NA
guakt1_1875	guakt1_1875	-0.3333333333333333	-0.2857142857142857	-0.3333333333333333	-0.2857142857142857	-0.3076923076923077	-0.2857142857142857
hahan1_1915	hahan1_1915	NA	NA	NA	NA	NA	NA
halid1_1851	halid1_1851	-1.3333333333333333	-1.3333333333333333	-1.3333333333333333	-1.3333333333333333	-1.3333333333333333	-1.3333333333333333
hawep1_1889	hawep1_1889	0	0	0	0	0	0
kabos1_1867	kabos1_1867	NA	NA	NA	NA	NA	NA
kajor1_1897	kajor1_1897	-0.42857142857142855	-0.4666666666666667	-0.42857142857142855	-0.4666666666666667	-0.4482758620689655	-0.43333333333333335
kelok1_1901	kelok1_1901	NA	NA	NA	NA	NA	NA
khpim1_1873	khpim1_1873	-1	-1.5263157894736843	-1	-1.5263157894736843	-1.3225806451612903	-1.0789473684210527
knban1_1876	knban1_1876	NA	NA	NA	NA	NA	NA
kotek1_1909	kotek1_1909	0.2222222222222222	0	0.2222222222222222	0	0.08333333333333333	0.06666666666666667
lamig1_1898	lamig1_1898	-0.3333333333333333	-0.7272727272727273	-0.3333333333333333	-0.7272727272727273	-0.5882352941176471	-0.45454545454545453
lesol1_1854	lesol1_1854	0.2857142857142857	-0.125	0.2857142857142857	-0.125	0.06666666666666667	0.0625
makgd1_1902	makgd1_1902	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
maloj1_1870	maloj1_1870	-1.125	-0.9	-1.125	-0.9	-1	-0.9
maphr1_1907	maphr1_1907	0.5	1.125	0.5	1.125	0.8571428571428571	0.75
matea1_1899	matea1_1899	0.25	-0.06666666666666667	0.25	-0.06666666666666667	0.043478260869565216	0.03333333333333333
mcino1_1857	mcino1_1857	-1	-1.25	-1	-1.25	-1.1666666666666667	-0.875
mecop1_1866	mecop1_1866	0	0	0	0	0	0
melia1_1839	melia1_1839	NA	NA	NA	NA	NA	NA
moaah1_1836	moaah1_1836	-0.3	-0.5833333333333334	-0.3	-0.5833333333333334	-0.45454545454545453	-0.4166666666666667
moglj1_1926	moglj1_1926	1.3	0.6666666666666666	1.3	0.6666666666666666	0.8928571428571429	0.6944444444444444
mojoa1_1904	mojoa1_1904	0.6	0.42857142857142855	-0.6	-0.42857142857142855	0.5	-0.42857142857142855
nabiq1_1846	nabiq1_1846	0	-0.6666666666666666	0	-0.6666666666666666	-0.46153846153846156	-0.3333333333333333
nnpop1_1931	nnpop1_1931	0.625	0.625	0.625	0.625	0.625	0.625
nxumv1_1894	nxumv1_1894	-1	-0.3	-1	-0.3	-0.5333333333333333	-0.4
nyrea1_1900	nyrea1_1900	0.19230769230769232	0.19230769230769232	0.19230769230769232	0.19230769230769232	0.19230769230769232	0.19230769230769232
pabit1_1861	pabit1_1861	-0.3333333333333333	-0.07142857142857142	-0.3333333333333333	-0.07142857142857142	-0.15	-0.10714285714285714
palof1_1834	palof1_1834	0.16666666666666666	0.3333333333333333	0.16666666666666666	0.3333333333333333	0.2857142857142857	0.2
pebim1_1885	pebim1_1885	1.2	0.125	1.2	0.125	0.5384615384615384	0.4375
